Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Courtenay--Alberni,Christian Heritage Party of Canada,Jesse,Musial
Cowichan--Malahat--Langford,Green Party of Canada,Kathleen,Code
Cowichan--Malahat--Langford,Liberal Party of Canada,Blair,Herbert
Cowichan--Malahat--Langford,Conservative Party of Canada,Jeff,Kibble
Cowichan--Malahat--Langford,New Democratic Party,Alistair,MacGregor
Delta,New Democratic Party,Jason,McCormick
Delta,Liberal Party of Canada,Jill,McKnight
Delta,Conservative Party of Canada,Jessy,Sahota
Delta,People's Party of Canada,Natasa,Sirotic
Esquimalt--Saanich--Sooke,Independent,Param,Bhatti
Esquimalt--Saanich--Sooke,Conservative Party of Canada,Grant,Cool
Esquimalt--Saanich--Sooke,Communist Party of Canada,Robert,Crooks
Esquimalt--Saanich--Sooke,Green Party of Canada,Ben,Homer-Dixon
Esquimalt--Saanich--Sooke,Liberal Party of Canada,Stephanie,McLean
Esquimalt--Saanich--Sooke,Christian Heritage Party of Canada,David,Schaafsma
Esquimalt--Saanich--Sooke,New Democratic Party,Maja,Tait
Fleetwood--Port Kells,People's Party of Canada,John,Hetherington
Fleetwood--Port Kells,Green Party of Canada,Murali,Krishnan
Fleetwood--Port Kells,Conservative Party of Canada,Sukh,Pandher
Fleetwood--Port Kells,New Democratic Party,Shannon,Permal
Fleetwood--Port Kells,Liberal Party of Canada,Gurbux,Saini
Kamloops--Shuswap--Central Rockies,Conservative Party of Canada,Mel,Arnold
Kamloops--Shuswap--Central Rockies,People's Party of Canada,John Michael,Henry
Kamloops--Shuswap--Central Rockies,New Democratic Party,Phaedra,Idzan
Kamloops--Shuswap--Central Rockies,Green Party of Canada,Owen,Madden
Kamloops--Shuswap--Central Rockies,Liberal Party of Canada,Ken,Robertson
Kamloops--Thompson--Nicola,Conservative Party of Canada,Frank,Caputo
Kamloops--Thompson--Nicola,Liberal Party of Canada,Iain,Currie
Kamloops--Thompson--Nicola,People's Party of Canada,Chris,Enns
Kamloops--Thompson--Nicola,New Democratic Party,Miguel,Godau
Kamloops--Thompson--Nicola,Green Party of Canada,Jenna,Lindley
Kelowna,Liberal Party of Canada,Stephen,Fuhr
Kelowna,Conservative Party of Canada,Tracy,Gray
Kelowna,New Democratic Party,Trevor,McAleese
Kelowna,Green Party of Canada,Catriona,Wright
Langley Township--Fraser Heights,Liberal Party of Canada,John,Aldag
Langley Township--Fraser Heights,People's Party of Canada,Sepehr,Haghighat
Langley Township--Fraser Heights,New Democratic Party,Holly,Isaac
Langley Township--Fraser Heights,Libertarian Party of Canada,Alex,Joehl
Langley Township--Fraser Heights,Green Party of Canada,Debora,Soutar
Langley Township--Fraser Heights,Conservative Party of Canada,Tako,Van Popta
Mission--Matsqui--Abbotsford,New Democratic Party,Jules,CÙtÈ
Mission--Matsqui--Abbotsford,Liberal Party of Canada,Jeff,Howe
Mission--Matsqui--Abbotsford,Green Party of Canada,John,Kidder
Mission--Matsqui--Abbotsford,People's Party of Canada,Kevin,Sinclair
Mission--Matsqui--Abbotsford,Conservative Party of Canada,Brad,Vis
Nanaimo--Ladysmith,New Democratic Party,Lisa Marie,Barron
Nanaimo--Ladysmith,Liberal Party of Canada,Michelle,Corfield
Nanaimo--Ladysmith,Conservative Party of Canada,Tamara,Kronis
Nanaimo--Ladysmith,Green Party of Canada,Paul,Manly
Nanaimo--Ladysmith,People's Party of Canada,Stephen,Welton
New Westminster--Burnaby--Maillardville,New Democratic Party,Peter,Julian
New Westminster--Burnaby--Maillardville,Conservative Party of Canada,Indy,Panchi
New Westminster--Burnaby--Maillardville,Liberal Party of Canada,Jake,Sawatzky
New Westminster--Burnaby--Maillardville,Green Party of Canada,Tara,Shushtarian
New Westminster--Burnaby--Maillardville,Independent,Lourence Almonte,Singh
North Island--Powell River,Conservative Party of Canada,Aaron,Gunn
North Island--Powell River,New Democratic Party,Tanille,Johnston
North Island--Powell River,Liberal Party of Canada,Jennifer,Lash
North Island--Powell River,People's Party of Canada,Paul,Macknight
North Island--Powell River,Independent,Glen,Staples
North Island--Powell River,Green Party of Canada,Jessica,Wegg
North Vancouver--Capilano,People's Party of Canada,Ehsan,Arjmand
North Vancouver--Capilano,New Democratic Party,Tammy,Bentz
North Vancouver--Capilano,Conservative Party of Canada,Stephen,Curran
North Vancouver--Capilano,Independent,Oliver,King
North Vancouver--Capilano,Green Party of Canada,Andrew,Robinson
North Vancouver--Capilano,Liberal Party of Canada,Jonathan,Wilkinson
Okanagan Lake West--South Kelowna,Conservative Party of Canada,Dan,Albas
Okanagan Lake West--South Kelowna,New Democratic Party,Harpreet,Badohal
Okanagan Lake West--South Kelowna,Green Party of Canada,Louise,Lecouffe
Okanagan Lake West--South Kelowna,People's Party of Canada,Debbie,Robinson
Okanagan Lake West--South Kelowna,Liberal Party of Canada,Juliette,Sicotte
Okanagan Lake West--South Kelowna,Canadian Future Party,Gary,Suddard
Pitt Meadows--Maple Ridge,Parti RhinocÈros Party,Peter,Buddle
Pitt Meadows--Maple Ridge,Conservative Party of Canada,Marc,Dalton
Pitt Meadows--Maple Ridge,New Democratic Party,Daniel,Heydenrych
Pitt Meadows--Maple Ridge,People's Party of Canada,Chris,Lehner
Pitt Meadows--Maple Ridge,Liberal Party of Canada,Angie,Rowell
Port Moody--Coquitlam,Conservative Party of Canada,Paul,Lambert
Port Moody--Coquitlam,Green Party of Canada,Nash,Milani
Port Moody--Coquitlam,Liberal Party of Canada,Zoe,Royer
Port Moody--Coquitlam,Marxist-Leninist Party of Canada,Roland,Verrier
Port Moody--Coquitlam,New Democratic Party,Bonita,Zarrillo
Prince George--Peace River--Northern Rockies,Green Party of Canada,Mary,Forbes
Prince George--Peace River--Northern Rockies,New Democratic Party,Cory Grizz,Longley
Prince George--Peace River--Northern Rockies,Liberal Party of Canada,Peter,Njenga
Prince George--Peace River--Northern Rockies,People's Party of Canada,David,Watson
Prince George--Peace River--Northern Rockies,Conservative Party of Canada,Bob,Zimmer
Richmond Centre--Marpole,Conservative Party of Canada,Chak,Au
Richmond Centre--Marpole,New Democratic Party,Martin,Li
Richmond Centre--Marpole,Liberal Party of Canada,Wilson,Miao
Richmond Centre--Marpole,Green Party of Canada,Michael,Sisler
Richmond Centre--Marpole,People's Party of Canada,David,Wang
Richmond East--Steveston,Liberal Party of Canada,Parm,Bains
Richmond East--Steveston,Green Party of Canada,Steven,Ji
Richmond East--Steveston,New Democratic Party,Keefer,Pelech
Richmond East--Steveston,Conservative Party of Canada,Zach,Segal
Saanich--Gulf Islands,Liberal Party of Canada,David,Beckham
Saanich--Gulf Islands,Green Party of Canada,Elizabeth,May
Saanich--Gulf Islands,Conservative Party of Canada,Cathie,Ounsted
Saanich--Gulf Islands,New Democratic Party,Colin,Plant
Similkameen--South Okanagan--West Kootenay,People's Party of Canada,Barry,Dewar
Similkameen--South Okanagan--West Kootenay,Conservative Party of Canada,Helena,Konanz
Similkameen--South Okanagan--West Kootenay,Green Party of Canada,Philip,Mansfield
Similkameen--South Okanagan--West Kootenay,Liberal Party of Canada,Gloria,Morgan
Similkameen--South Okanagan--West Kootenay,New Democratic Party,Linda,Sankey
Skeena--Bulkley Valley,New Democratic Party,Taylor,Bachrach
Skeena--Bulkley Valley,Liberal Party of Canada,Inderpal,Dhillon
Skeena--Bulkley Valley,Conservative Party of Canada,Ellis,Ross
Skeena--Bulkley Valley,Christian Heritage Party of Canada,Rod,Taylor
Skeena--Bulkley Valley,Green Party of Canada,Adeana,Young
South Surrey--White Rock,Conservative Party of Canada,Kerry-Lynne,Findlay
South Surrey--White Rock,Green Party of Canada,Christine,Kinnie
South Surrey--White Rock,Liberal Party of Canada,Ernie,Klassen
South Surrey--White Rock,New Democratic Party,Jureun,Park
Surrey Centre,Communist Party of Canada,Ryan,Abbott
Surrey Centre,New Democratic Party,Dominic,Denofrio
Surrey Centre,Conservative Party of Canada,Rajvir,Dhillon
Surrey Centre,Green Party of Canada,Krishan,Khurana
Surrey Centre,Liberal Party of Canada,Randeep,Sarai
Surrey Centre,People's Party of Canada,Beverly,Tanchak
Surrey Newton,Liberal Party of Canada,Sukh,Dhaliwal
Surrey Newton,Conservative Party of Canada,Harjit Singh,Gill
Surrey Newton,New Democratic Party,Raj Singh,Toor
Surrey Newton,Communist Party of Canada,Salman,Zafar
Vancouver Centre,Conservative Party of Canada,Elaine,Allan
Vancouver Centre,Liberal Party of Canada,Hedy,Fry
Vancouver Centre,New Democratic Party,Avi,Lewis
Vancouver Centre,Green Party of Canada,Scott,MacDonald
Vancouver Centre,Independent,Drew William,McPherson
Vancouver Centre,People's Party of Canada,Christopher,Varga
Vancouver East,Conservative Party of Canada,Lita,Cabal
Vancouver East,Communist Party of Canada,Kimball,Cariou
Vancouver East,New Democratic Party,Jenny,Kwan
Vancouver East,People's Party of Canada,Meghan Emily,Murphy
Vancouver East,Green Party of Canada,Nikida,Steel
Vancouver East,Liberal Party of Canada,Mark,Wiens
Vancouver Fraserview--South Burnaby,New Democratic Party,Manoj,Bhangu
Vancouver Fraserview--South Burnaby,Green Party of Canada,Alexander,Dow
Vancouver Fraserview--South Burnaby,Conservative Party of Canada,Avi,Nayyar
Vancouver Fraserview--South Burnaby,People's Party of Canada,"Desiderio Magtanggol ""Bonn""",Reyes
Vancouver Fraserview--South Burnaby,Liberal Party of Canada,Gregor,Robertson
Vancouver Granville,Green Party of Canada,Jerry,Kroll
Vancouver Granville,Liberal Party of Canada,Taleeb,Noormohamed
Vancouver Granville,Conservative Party of Canada,Marie,Rogers
Vancouver Granville,New Democratic Party,Sukhi Singh,Sahota
Vancouver Kingsway,Conservative Party of Canada,Ravinder,Bhatia
Vancouver Kingsway,New Democratic Party,Don,Davies
Vancouver Kingsway,Liberal Party of Canada,Amy K.,Gill
Vancouver Kingsway,Green Party of Canada,Imtiaz,Popat
Vancouver Kingsway,People's Party of Canada,Fiona,Wang
Vancouver Quadra,Conservative Party of Canada,Ken,Charko
Vancouver Quadra,Green Party of Canada,Tom,Digby
Vancouver Quadra,People's Party of Canada,John Odan,Ede
Vancouver Quadra,New Democratic Party,Alim,Fakirani
Vancouver Quadra,Liberal Party of Canada,Wade,Grant
Vernon--Lake Country--Monashee,Conservative Party of Canada,Scott,Anderson
Vernon--Lake Country--Monashee,New Democratic Party,Leah Ellen,Main
Vernon--Lake Country--Monashee,Liberal Party of Canada,Anna Warwick,Sears
Vernon--Lake Country--Monashee,Green Party of Canada,Blair,Visscher
Victoria,New Democratic Party,Laurel,Collins
Victoria,Green Party of Canada,Michael,Doherty
Victoria,Independent,Steve,Filipovic
Victoria,Parti RhinocÈros Party,Cody,Fraser
Victoria,Liberal Party of Canada,Will,Greaves
Victoria,People's Party of Canada,David,Mohr
Victoria,Christian Heritage Party of Canada,Mary,Moreau
Victoria,Conservative Party of Canada,Angus,Ross
West Vancouver--Sunshine Coast--Sea to Sky Country,People's Party of Canada,Peyman,Askari
West Vancouver--Sunshine Coast--Sea to Sky Country,Green Party of Canada,Lauren,Greenlaw
West Vancouver--Sunshine Coast--Sea to Sky Country,Parti RhinocÈros Party,Gordon,Jeffrey
West Vancouver--Sunshine Coast--Sea to Sky Country,New Democratic Party,J‰ger,Rosenberg
West Vancouver--Sunshine Coast--Sea to Sky Country,Conservative Party of Canada,Keith,Roy
West Vancouver--Sunshine Coast--Sea to Sky Country,Liberal Party of Canada,Patrick,Weiler
Yukon,Green Party of Canada,Gabrielle,Dupont
Yukon,Liberal Party of Canada,Brendan,Hanley
Yukon,Conservative Party of Canada,Ryan,Leef
Yukon,New Democratic Party,Katherine,McCallum
Northwest Territories,Liberal Party of Canada,Rebecca,Alty
Northwest Territories,Green Party of Canada,Rainbow,Eyes
Northwest Territories,Conservative Party of Canada,Kimberly,Fairman
Northwest Territories,New Democratic Party,Kelvin,Kotchilea
Nunavut,Conservative Party of Canada,James T.,Arreak
Nunavut,New Democratic Party,Lori,Idlout
Nunavut,Liberal Party of Canada,Kilikvak,Kabloona
